SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3716,0,0,0,0,57,63,60,58,68,55,52,73,68,53,59,72,63,69,67,86,63,56,68,63,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3988,0,0,0,0,48,46,48,51,40,56,40,47,51,48,50,52,44,45,48,45,50,59,67,57,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3752,0,0,0,0,47,55,70,56,68,70,64,56,55,56,54,64,61,57,79,64,65,73,66,57,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3727,0,0,0,0,70,62,73,64,54,66,68,54,76,53,71,68,66,57,61,66,68,52,59,53,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3569,0,0,0,0,62,67,56,59,70,74,87,73,72,88,70,69,59,71,55,85,71,77,76,72,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3800,0,0,0,0,61,67,73,54,42,71,64,62,45,69,38,54,74,64,58,63,65,53,59,56,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3729,0,0,0,0,68,54,67,60,50,50,55,69,73,53,75,65,72,70,55,62,67,70,48,63,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3929,0,0,0,0,46,55,58,57,61,57,55,44,40,47,54,58,45,47,59,49,56,65,61,45,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3701,0,0,0,0,44,56,64,73,52,64,58,73,57,73,65,62,74,60,73,78,74,56,69,68,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3996,0,0,0,0,37,53,40,47,55,58,52,53,47,57,42,50,54,58,49,37,50,53,61,46,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3558,0,0,0,0,59,61,89,79,64,86,73,77,84,60,65,43,81,87,76,70,60,86,58,63,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3585,0,0,0,0,56,54,80,93,90,77,63,60,86,64,73,69,86,73,54,65,66,58,80,55,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3946,0,0,0,0,56,56,56,45,60,54,48,42,47,51,46,56,61,55,43,71,47,60,43,45,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3999,0,0,0,0,46,50,55,53,42,42,55,56,55,39,59,48,54,45,46,52,58,50,46,45,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
4001,0,0,0,0,65,53,47,47,48,49,34,45,48,39,40,48,46,55,54,63,50,63,59,46,
SSD-0,Cache-0,Cache-1,Cache-2,Cache-3,DataDisk-0,DataDisk-1,DataDisk-2,DataDisk-3,DataDisk-4,DataDisk-5,DataDisk-6,DataDisk-7,DataDisk-8,DataDisk-9,DataDisk-10,DataDisk-11,DataDisk-12,DataDisk-13,DataDisk-14,DataDisk-15,DataDisk-16,DataDisk-17,DataDisk-18,DataDisk-19
3996,0,0,0,0,52,33,71,44,52,48,36,50,52,62,38,56,52,49,56,51,37,40,68,47,
